site,description,website,icon,address
Florence Nightingale Museum,"Museum dedicated to the life and work of the world's most famous nurse, who helped to found several hospitals across London and the UK.",https://www.florence-nightingale.co.uk/,blue,"2 Lambeth Palace Rd, Bishop's, London SE1 7EW"
The Feminist Library,Home to the largest collection of women's liberation movement literature. Established in 1975.,http://feministlibrary.co.uk/,blue,"5 Westminster Bridge Rd, SE1 7XW"
National Portrait Gallery,There are a variety of paintings commemorating important and influential women from throughout Britain's history.,https://www.npg.org.uk/collections/,blue,"St. Martin's Place, WC2H 0HE"
Royal Academy of Arts,Visit here to see the work of remarkable female artists.,https://www.royalacademy.org.uk/,blue,"Burlington House, Picadilly, London, W1J 0BD"
Museum of London,"The museum has an exhibit on the history of the Women's Movement, running until June 14.",https://www.museumoflondon.org.uk/museum-london/event-detail?id=39008,blue,"150 London Wall, London EC2Y 5HN"
The Women's Library at LSE,The Women’s Library collection tells the story of the campaign for women’s rights and women’s equality from the beginnings of the suffrage movement to the present day.,http://www.lse.ac.uk/library/collection-highlights/the-womens-library,blue,"London Scool of Economics and Political Science, Houghton Street, London, WC2A 2AE"
Walking Tour: Women on the Walk,"A theatrical walking tour that brings to life women's history in the city. Meets outside the National Gallery, check the website for details.",https://www.womenonthewalk.co.uk/home,blue,"Trafalgar Square, Charing Cross, London WC2N 5DN"
Walking Tour: Beyond the Streets,"See and hear the story of Jack the Ripper's victims, and uncover the hidden history of East End women.",https://www.eventbrite.co.uk/e/a-hidden-history-of-women-in-the-east-end-the-alternative-jack-the-ripper-tour-tickets-40094412467,blue,"Saint Botolph Without Aldgate, Aldgate High Street, London, EC3N 1AB"
Victoria Park Gardens,"A statue at the entrance, erected in 1930, commemorates the life and work of suffragettes Emmeline and Christabel Pankhurst",https://en.wikipedia.org/wiki/Emmeline_Pankhurst,blue,"Millbank, Westminster, London SW1P 3JA"
Parliament Square,Dame Millicent Fawcett was the first woman to be commemorated with a statue in the famous square.,https://en.wikipedia.org/wiki/Millicent_Fawcett,blue,"Parliament Square, London, SW1P 3JX"
Fiera UK Head Office,Our lovely office in the heart of Mayfair at Queensberry House,https://www.fierarealestate.co.uk,darkblue,"3 Old Burlington Street, Mayfair, London"
